market_id,selection_id,race_time,reference_price,reference_time,price_at_flag,time_at_flag,percentage_drop,actual_sp,outcome,result
1.260798608,4226599,2026-08-07 05:53:00+00:00,2.3,72.874,2.04,12.956,11.304347826086948,,WINNER,1.8627450980392128
1.26080828,28334574,2026-08-07 09:15:00+00:00,11.5,89.995,9.8,29.943,14.782608695652169,,LOSER,3.9795918367346914
1.260573173,101183316,2026-08-01 03:29:00+00:00,2.94,67.832,2.64,7.888,10.204081632653056,,LOSER,1.2272727272727266
1.260605211,101182098,2026-08-01 09:05:00+00:00,2.56,75.639,2.2,15.684,14.062499999999996,,WINNER,3.527272727272731
1.260910978,82021399,2026-08-10 06:18:00+00:00,8.4,82.143,7.4,22.135,11.904761904761903,,LOSER,2.2162162162162105
1.260910981,24625328,2026-08-10 06:54:00+00:00,5.8,82.099,4.4,22.175,24.13793103448275,,LOSER,10.636363636363631
1.260910984,72381582,2026-08-10 07:30:00+00:00,6.2,82.099,4.8,22.138,22.580645161290327,,WINNER,9.41666666666668
1.26106458,618202,2026-08-15 10:50:00+00:00,6.6,70.123,5.9,10.059,10.606060606060597,,LOSER,1.4576271186440692
1.261064691,85319946,2026-08-15 03:39:00+00:00,9.8,70.279,8.2,10.263,16.32653061224491,,LOSER,4.975609756097569
1.26113241,83446075,2026-08-17 03:05:00+00:00,3.4,83.434,3.05,23.455,10.294117647058826,,LOSER,1.2786885245901658
1.26113241,88329893,2026-08-17 03:05:00+00:00,7.4,83.434,6.6,23.455,10.81081081081082,,LOSER,1.575757575757578
1.261132413,101639143,2026-08-17 03:40:00+00:00,2.46,83.461,2.1,23.506,14.634146341463412,,WINNER,3.885714285714286
1.26132746,45461404,2026-08-22 07:27:00+00:00,9.2,80.455,8.2,20.445,10.869565217391305,,WINNER,1.6097560975609753
1.261605701,81193249,2026-08-28 14:15:00+00:00,5.7,67.4,4.7,7.459,17.543859649122805,,WINNER,5.7872340425531945
1.261564751,144629,2026-08-29 03:45:00+00:00,8.2,81.225,5.4,21.295,34.14634146341463,,LOSER,19.851851851851837
1.261564769,102098419,2026-08-29 04:55:00+00:00,10.5,81.251,9.4,21.268,10.476190476190473,,LOSER,1.38297872340425
1.260715428,48856290,2026-08-04 10:20:00+00:00,7.0,70.225,6.0,10.256,14.285714285714285,,LOSER,3.666666666666672
1.260715431,41477612,2026-08-04 10:50:00+00:00,3.75,70.204,3.25,10.244,13.333333333333334,,WINNER,3.07692307692308
1.260715485,101217978,2026-08-04 10:10:00+00:00,8.6,63.116,7.6,2.971,11.627906976744184,,WINNER,2.05263157894737
1.260715487,98685106,2026-08-04 10:40:00+00:00,11.0,63.252,9.6,3.002,12.727272727272732,,LOSER,2.708333333333343
1.260715491,100719981,2026-08-04 11:36:00+00:00,9.8,63.042,8.8,2.986,10.20408163265306,,LOSER,1.2272727272727335
1.260808231,101355143,2026-08-07 03:48:00+00:00,4.6,64.317,4.0,4.17,13.04347826086956,,LOSER,2.8999999999999986
1.261065519,69968054,2026-08-14 07:42:00+00:00,6.2,86.502,5.5,26.484,11.290322580645164,,WINNER,1.854545454545459
1.26106562,101640183,2026-08-15 07:23:00+00:00,5.6,82.816,5.0,22.795,10.714285714285708,,LOSER,1.5200000000000031
1.260601006,96118744,2026-08-02 02:30:00+00:00,8.8,82.495,7.0,22.522,20.45454545454546,,LOSER,7.828571428571443
